,name,addr,tel,etc
305,참살이오리전문점,청주시 상당구 영운천로 153번길 36,2875233,"오리백숙, 오리로스, 
영양돌솥밥"
306,바로정,청주시 상당구 영운천로 153번길 36,2110567,"불고기정식, 순두부정식, 설렁탕"
307,콩가내,청주시 상당구 영운천로 153번길 36,2172996,"곤드레밥, 
들깨순두부백반"
308,흙에서,청주시 상당구 영운천로 153번길 36,2370018,쌀밥정식
309,명산가든,청주시 상당구 영운천로 153번길 36,8517208,산채정식
310,영화식당,청주시 상당구 영운천로 153번길 36,8464500,산채정식
311,퓨전한정식뜰안채,청주시 상당구 영운천로 153번길 36,8483351,한정식
312,만나밥집,청주시 상당구 영운천로 153번길 36,8529590,콩나물해장국
313,금가능이옥,청주시 상당구 영운천로 153번길 36,8523338,능이버섯전골
314,사또본가,청주시 상당구 영운천로 153번길 36,8547744,청국장
315,황포돛대 교현점,청주시 상당구 영운천로 153번길 36,8522203,산우럭매운탕
316,천년향,청주시 상당구 영운천로 153번길 36,8441009,약초체질밥
317,강계화청국장,청주시 상당구 영운천로 153번길 36,8555113,청국장
318,오리장터,청주시 상당구 영운천로 153번길 36,8529255,연잎밥정식
319,꼬마각시 금릉점,청주시 상당구 영운천로 153번길 36,8511297,돌솥영양밥
320,수안보파크호텔탄금대,청주시 상당구 영운천로 153번길 36,8462331,"된장찌개, 김치찌개, 해물된장찌개"
321,장수밥상,청주시 상당구 영운천로 153번길 36,8541331,장수밥상
322,원뜰,청주시 상당구 영운천로 153번길 36,6486788,약채밥상
323,황금연못,청주시 상당구 영운천로 153번길 36,6475686,돌솥곤드레밥
324,풀향기,청주시 상당구 영운천로 153번길 36,6535491,곤드레정식
325,대보명가,청주시 상당구 영운천로 153번길 36,6433050,약초밥상
326,가람,청주시 상당구 영운천로 153번길 36,6512264,더덕뽕잎돌솥정식
327,산아래,청주시 상당구 영운천로 153번길 36,6463233,친환경우렁쌈밥
328,대추나무집,청주시 상당구 영운천로 153번길 36,6450003,쇠고기로스정식
329,황금들,청주시 상당구 영운천로 153번길 36,6451729,약초한정식
330,금왕,청주시 상당구 영운천로 153번길 36,6459100,올갱이해장국
331,청풍황금떡갈비,청주시 상당구 영운천로 153번길 36,6476300,"울금떡갈비정식, 버섯불고기정식"
332,자연쌈채,청주시 상당구 영운천로 153번길 36,6450646,"쌈정식, 코다리정식, 약채정식"
333,우돈명가,청주시 상당구 영운천로 153번길 36,6528400,"약선버섯전골, 약선수육, 약선곱창전골"
334,광성추어탕,청주시 상당구 영운천로 153번길 36,6446434,"추어탕, 추어튀김, 추어만두"
